#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
84.196,Education for Homeless Children and Youth,Department of Education / Office of Elementary and Secondary Education,A - FORMULA GRANTS,8/29/2015 5:01,1/1/1987 0:00
84.287,Twenty-First Century Community Learning Centers,Department of Education / Office of Elementary and Secondary Education,A - FORMULA GRANTS,9/3/2015 5:01,1/1/1995 0:00
84.367,Improving Teacher Quality State Grants,Department of Education / Office of Elementary and Secondary Education,A - FORMULA GRANTS,9/3/2015 5:01,1/1/2004 0:00
84.369,Grants for State Assessments and Related Activities,Department of Education / Office of Elementary and Secondary Education,A - FORMULA GRANTS,8/29/2015 5:01,1/1/2004 0:00
84.377,School Improvement Grants,Department of Education / Office of Elementary and Secondary Education,A - Formula Grants,8/29/2015 5:01,1/1/2008 0:00
84.378,College Access Challenge Grant Program,Department of Education / Office of Postsecondary Education,A - FORMULA GRANTS,8/21/2015 5:00,1/1/2008 0:00
84.161,Rehabilitation Services_Client Assistance Program,Department of Education / Office of Special Education and Rehabilitative Services,A - FORMULA GRANTS,9/12/2015 5:01,1/1/1984 0:00
84.173,Special Education_Preschool Grants,Department of Education / Office of Special Education and Rehabilitative Services,A - FORMULA GRANTS,9/5/2015 5:00,1/1/1985 0:00
84.181,Special Education-Grants for Infants and Families,Department of Education / Office of Special Education and Rehabilitative Services,A - FORMULA GRANTS,8/27/2015 5:02,1/1/1987 0:00
81.042,Weatherization Assistance for Low-Income Persons,Department of Energy,A - Formula Grants,8/22/2015 5:00,1/1/1978 0:00
93.563,Child Support Enforcement,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,8/27/2015 5:01,1/1/1992 0:00
93.597,Grants to States for Access and Visitation Programs,Department of Health and Human Services / Administration for Children and Families,A - Formula Grants,8/27/2015 5:01,1/1/1997 0:00
93.643,Children's Justice Grants to States,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,8/27/2015 5:01,1/1/1990 0:00
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,9/9/2015 5:00,1/1/1990 0:00
93.714,ARRA – Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program,Department of Health and Human Services / Administration for Children and Families,A - Formula Grants,8/22/2015 5:00,5/26/2009 15:39
93.716,ARRA – Temporary Assistance for Needy Families (TANF) Supplemental Grants,Department of Health and Human Services / Administration for Children and Families,A - Formula Grants,8/22/2015 5:00,5/26/2009 15:39
93.369,ACL Independent Living State Grants,Department of Health and Human Services / Administration for Community Living,A - Formula Grants,8/27/2015 5:02,3/9/2015 13:16
93.617,Voting Access for Individuals with Disabilities_Grants to States,Department of Health and Human Services / Administration for Community Living,A - Formula Grants,8/5/2015 5:00,1/1/2003 0:00
93.843,ACL Assistive Technology State Grants for Protection and Advocacy,Department of Health and Human Services / Administration for Community Living,A - Formula Grants,8/8/2015 5:00,3/4/2015 16:12
93.758,Preventive Health and Health Services Block Grant funded solely with Prevention and Public Health Funds (PPHF),Department of Health and Human Services / Centers for Disease Control and Prevention,A - Formula Grants,6/5/2015 5:00,4/12/2014 5:00
93.775,State Medicaid Fraud Control Units,Department of Health and Human Services / Centers for Medicare and Medicaid Services,A - FORMULA GRANTS,6/4/2015 5:00,1/1/1990 0:00
93.777,State Survey and Certification of Health Care Providers and Suppliers (Title XVIII) Medicare,Department of Health and Human Services / Centers for Medicare and Medicaid Services,A - FORMULA GRANTS,6/26/2015 5:00,1/1/1990 0:00
93.780,Grants to States for Operation of Qualified High-Risk Pools,Department of Health and Human Services / Centers for Medicare and Medicaid Services,A - FORMULA GRANTS,7/31/2015 5:00,1/1/2003 0:00
93.796,State Survey Certification of Health Care Providers and Suppliers (Title XIX) Medicaid,Department of Health and Human Services / Centers for Medicare and Medicaid Services,A - Formula Grants,7/25/2015 5:01,10/15/2010 7:32
93.505,"Affordable Care Act (ACA) Maternal, Infant, and Early Childhood Home Visiting Program",Department of Health and Human Services / Health Resources and Services Administration,A - Formula Grants,9/2/2015 9:20,5/28/2010 17:26
93.889,National Bioterrorism Hospital Preparedness Program,Department of Health and Human Services / Office of the Secretary,A - Formula Grants,9/11/2015 5:00,1/1/2004 0:00
93.958,Block Grants for Community Mental Health Services,Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,A - FORMULA GRANTS,9/2/2015 5:01,1/1/1993 0:00
93.959,Block Grants for Prevention and Treatment of Substance Abuse,Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,A - Formula Grants,9/2/2015 5:01,1/1/1993 0:00
97.042,Emergency Management Performance Grants,Department of Homeland Security,A - FORMULA GRANTS,7/23/2015 5:00,1/1/2003 0:00
97.067,Homeland Security Grant Program,Department of Homeland Security,A - FORMULA GRANTS,9/20/2015 5:00,1/1/2004 0:00
16.593,Residential Substance Abuse Treatment for State Prisoners,Department of Justice / Bureau of Justice Assistance,A - FORMULA GRANTS,1/23/2016 5:00,1/1/1996 0:00
16.816,John R.  Justice Prosecutors and Defenders Incentive Act,Department of Justice / Bureau of Justice Assistance,A - Formula Grants,9/6/2015 5:00,5/6/2010 7:38
16.548,Title V_Delinquency Prevention Program,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,A - FORMULA GRANTS,9/13/2015 5:00,1/1/1994 0:00
16.588,Violence Against Women Formula Grants,Department of Justice / Violence Against Women Office,A - FORMULA GRANTS,8/27/2014 5:00,1/1/1995 0:00
17.258,WIA/WIOA Adult Program,Department of Labor / Employment Training Administration,A - Formula Grants,8/21/2015 5:00,1/1/2001 0:00
17.259,WIA/WIOA Youth Activities,Department of Labor / Employment Training Administration,A - Formula Grants,8/20/2015 5:01,1/1/2001 0:00
17.278,WIA/WIOA Dislocated Worker Formula Grants,Department of Labor / Employment Training Administration,A - Formula Grants,8/21/2015 5:00,7/30/2009 7:55
15.605,Sport Fish Restoration Program,Department of the Interior / Fish and Wildlife Service,A - Formula Grants,7/14/2015 5:01,1/1/1970 0:00
15.611,Wildlife Restoration and Basic Hunter Education,Department of the Interior / Fish and Wildlife Service,A - FORMULA GRANTS,7/14/2015 5:01,1/1/1970 0:00
15.625,Wildlife Conservation and Restoration,Department of the Interior / Fish and Wildlife Service,A - FORMULA GRANTS,7/14/2015 5:01,1/1/2001 0:00
15.626,Enhanced Hunter Education and Safety Program,Department of the Interior / Fish and Wildlife Service,A - Formula Grants,7/14/2015 5:01,1/1/2001 0:00
20.218,National Motor Carrier Safety,Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA),A - FORMULA GRANTS,8/6/2015 5:00,1/1/1983 0:00
20.505,Metropolitan Transportation Planning and State and Non-Metropolitan Planning and Research,Department of Transportation / Federal Transit Administration (FTA),A - FORMULA GRANTS,8/1/2015 5:00,1/1/1969 0:00
20.509,Formula Grants for Rural Areas,Department of Transportation / Federal Transit Administration (FTA),A - FORMULA GRANTS,8/1/2015 5:00,1/1/1979 0:00
20.521,New Freedom Program,Department of Transportation / Federal Transit Administration (FTA),A - FORMULA GRANTS,8/5/2015 5:00,1/1/2006 0:00
20.525,State of Good Repair Grants Program,Department of Transportation / Federal Transit Administration (FTA),A - Formula Grants,8/5/2015 5:00,12/19/2012 5:00
20.526,Bus and Bus Facilities Formula Program,Department of Transportation / Federal Transit Administration (FTA),A - Formula Grants,8/5/2015 5:00,12/19/2012 5:00
20.528,Rail Fixed Guideway Public Transportation System State Safety Oversight Formula Grant Program,Department of Transportation / Federal Transit Administration (FTA),A - Formula Grants,8/8/2015 5:00,7/10/2013 12:46
20.600,State and Community Highway Safety,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),A - FORMULA GRANTS,7/22/2015 5:00,1/1/1971 0:00
20.611,Incentive Grant Program to Prohibit Racial Profiling,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),A - Formula Grants,11/18/2015 5:00,4/17/2006 0:00
20.612,Incentive Grant Program to Increase Motorcyclist Safety,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),A - Formula Grants,11/18/2015 5:00,4/17/2006 0:00
20.616,National Priority Safety Programs,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),A - Formula Grants,7/22/2015 5:00,9/15/2012 5:00
20.700,Pipeline Safety Program State Base Grant,Department of Transportation / Pipeline and Hazardous Materials Safety Administration,A - FORMULA GRANTS,8/5/2015 5:00,1/1/1971 0:00
66.040,State Clean Diesel Grant Program,Environmental Protection Agency / Office of Air and Radiation,A - Formula Grants,9/5/2015 5:00,1/1/2008 0:00
66.804,"Underground Storage Tank Prevention, Detection and Compliance Program",Environmental Protection Agency / Office of Solid Waste and Emergency Response,A - FORMULA GRANTS,11/28/2015 5:00,1/1/1985 0:00
66.805,Leaking Underground Storage Tank Trust Fund Corrective Action Program,Environmental Protection Agency / Office of Solid Waste and Emergency Response,A - FORMULA GRANTS,9/10/2015 5:01,1/1/1987 0:00
66.817,State and Tribal Response Program Grants,Environmental Protection Agency / Office of Solid Waste and Emergency Response,A - FORMULA GRANTS,9/5/2015 5:00,1/1/2002 0:00
66.819,Disaster Relief Appropriations Act (DRAA) Hurricane Sandy Leaking Underground Storage Tank Trust Fund Corrective Action Program,Environmental Protection Agency / Office of Solid Waste and Emergency Response,A - Formula Grants,9/3/2015 5:01,7/11/2013 5:00
66.419,"Water Pollution Control State, Interstate, and Tribal Program Support",Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/4/2015 5:00,1/1/1974 0:00
66.432,State Public Water System Supervision,Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/4/2015 5:00,1/1/1975 0:00
66.433,State Underground Water Source Protection,Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/9/2015 5:01,1/1/1975 0:00
66.454,Water Quality Management Planning,Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/9/2015 5:01,1/1/1983 0:00
66.458,Capitalization Grants for Clean Water State Revolving Funds,Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/9/2015 5:01,1/1/1988 0:00
66.460,Nonpoint Source Implementation Grants,Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/11/2015 5:00,1/1/1990 0:00
66.468,Capitalization Grants for Drinking Water State Revolving Funds,Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/11/2015 5:00,1/1/1997 0:00
66.472,Beach Monitoring and Notification Program Implementation Grants,Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/11/2015 5:00,1/1/2001 0:00
66.474,Water Protection Grants to the States,Environmental Protection Agency / Office of Water,A - FORMULA GRANTS,9/12/2015 5:00,1/1/2002 0:00
66.482,Disaster Relief Appropriations Act (DRAA) Hurricane Sandy Capitalization Grants For Clean Water State Revolving Funds,Environmental Protection Agency / Office of Water,A - Formula Grants,9/3/2015 5:01,7/11/2013 5:00
66.483,Disaster Relief Appropriations Act (DRAA) Hurricane Sandy Capitalization Grants for Drinking Water State Revolving Funds,Environmental Protection Agency / Office of Water,A - Formula Grants,9/3/2015 5:01,7/11/2013 5:00
45.310,Grants to States,Institute of Museum and Library Services,A - FORMULA GRANTS,3/31/2016 5:00,1/1/1998 0:00
93.074,Hospital Preparedness Program (HPP) and Public Health Emergency Preparedness (PHEP) Aligned Cooperative Agreements,Department of Health and Human Services / Centers for Disease Control and Prevention,A - Formula Grants (Cooperative Agreements),8/27/2015 5:02,
93.765,PPHF-CDC Partnership: Strengthening Public Health Laboratories,Department of Health and Human Services / Centers for Disease Control and Prevention,A - Formula Grants (Cooperative Agreements),7/31/2015 5:00,7/2/2014 5:00
93.817,Hospital Preparedness Program (HPP) Ebola Preparedness and Response Activities,Department of Health and Human Services / Office of the Secretary,A - Formula Grants (Cooperative Agreements),9/10/2015 5:00,3/1/2015 5:00
15.504,Title XVI Water Reclamation and Reuse Program,Department of the Interior / Bureau of Reclamation,A - Formula Grants (Cooperative Agreements),8/28/2015 5:01,1/1/1971 0:00
15.406,National Park Service Centennial Challenge.,Department of the Interior / National Park Service,A - Formula Grants (Cooperative Agreements),8/27/2015 5:02,1/1/2008 0:00
66.801,Hazardous Waste Management State Program Support,Environmental Protection Agency / Office of Solid Waste and Emergency Response,A - Formula Grants (Cooperative Agreements),9/10/2015 5:01,1/1/1983 0:00
93.241,State Rural Hospital Flexibility Program,Department of Health and Human Services / Health Resources and Services Administration,"A - Formula Grants (Cooperative Agreements), B - PROJECT GRANTS",9/2/2015 14:00,1/1/1999 0:00
20.219,Recreational Trails Program,Department of Transportation / Federal Highway Administration (FHWA),"A - Formula Grants, A - Formula Grants (Apportionments)",7/27/2015 5:00,1/1/1993 0:00
93.650,Accountable Health Communities,Department of Health and Human Services / Centers for Medicare and Medicaid Services,"A - Formula Grants, A - Formula Grants (Cooperative Agreements)",12/20/2015 5:01,12/20/2015 5:01
93.095,HHS Programs for Disaster Relief Appropriations Act - Non Construction,Department of Health and Human Services,"A - Formula Grants, B - Cooperative Agreements, B - Project Grants",9/20/2015 5:00,3/24/2013 5:00
16.835,Body Worn Camera Policy and Implementation,Department of Justice / Bureau of Justice Assistance,"A - Formula Grants, B - Cooperative Agreements, B - Project Grants, I - Use of Property, Facilities, and Equipment, J - Provision of Specialized Services, K - Advisory Services and Counseling, L - Dissemination of Technical Information, M - Training, N - Investigation of Complaints",2/26/2016 5:00,2/26/2016 5:00
10.680,Forest Health Protection,Department of Agriculture / Forest Service,"A - FORMULA GRANTS, B - PROJECT GRANTS",8/15/2015 5:01,1/1/2005 0:00
10.500,Cooperative Extension Service,Department of Agriculture / National Institute of Food and Agriculture,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/10/2015 11:59,1/1/1970 0:00
11.419,Coastal Zone Management Administration Awards,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),"A - FORMULA GRANTS, B - PROJECT GRANTS",9/20/2014 5:00,1/1/1974 0:00
93.518,Affordable Care Act - Medicare Improvements for Patients and Providers,Department of Health and Human Services / Administration for Community Living,"A - Formula Grants, B - Project Grants",8/9/2015 5:00,7/9/2010 12:08
93.767,Children's Health Insurance Program,Department of Health and Human Services / Centers for Medicare and Medicaid Services,"A - FORMULA GRANTS, B - Project Grants",9/11/2015 5:00,1/1/1998 0:00
97.012,Boating Safety Financial Assistance,Department of Homeland Security,"A - FORMULA GRANTS, B - Project Grants",2/5/2016 5:00,1/1/2003 0:00
16.803,Recovery Act - Edward Byrne  Memorial Justice Assistance Grant (JAG) Program/ Grants  to States and Territories,Department of Justice,"A - Formula Grants, B - Project Grants",8/22/2015 5:00,5/15/2009 17:33
16.738,Edward Byrne Memorial Justice Assistance Grant Program,Department of Justice / Bureau of Justice Assistance,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/18/2015 5:00,1/1/2005 0:00
16.742,Paul Coverdell Forensic Sciences Improvement Grant Program,Department of Justice / National Institute of Justice,"A - FORMULA GRANTS, B - Project Grants",9/19/2015 5:00,1/1/2005 0:00
16.523,Juvenile Accountability Block Grants,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/21/2014 5:01,1/1/1998 0:00
16.540,Juvenile Justice and Delinquency Prevention_Allocation to States,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/19/2015 5:00,1/1/1980 0:00
15.904,Historic Preservation Fund Grants-In-Aid,Department of the Interior / National Park Service,"A - FORMULA GRANTS, B - PROJECT GRANTS",8/27/2015 5:02,1/1/1969 0:00
15.957,Historic Preservation Fund Grants to Provide Disaster Relief to Historic Properties Damaged by Hurricane Sandy,Department of the Interior / National Park Service,"A - Formula Grants, B - Project Grants",8/28/2015 5:01,5/15/2013 5:00
15.252,Abandoned Mine Land Reclamation (AMLR) Program,Department of the Interior / Office of Surface Mining,"A - FORMULA GRANTS, B - PROJECT GRANTS",6/13/2015 5:00,1/1/1979 0:00
15.805,Assistance to State Water Resources Research Institutes,Department of the Interior / U.S. Geological Survey,"A - FORMULA GRANTS, B - PROJECT GRANTS",8/11/2015 5:00,1/1/1984 0:00
20.205,Highway Planning and Construction,Department of Transportation / Federal Highway Administration (FHWA),"A - FORMULA GRANTS, B - PROJECT GRANTS",7/27/2015 5:00,1/1/1967 0:00
20.500,Federal Transit_Capital Investment Grants,Department of Transportation / Federal Transit Administration (FTA),"A - FORMULA GRANTS, B - PROJECT GRANTS",8/1/2015 5:00,1/1/1970 0:00
66.605,Performance Partnership Grants,Environmental Protection Agency / Office of the Administrator,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/11/2015 5:00,1/1/1997 0:00
93.586,State Court Improvement Program,Department of Health and Human Services / Administration for Children and Families,"A - FORMULA GRANTS, B - Project Grants (Discretionary)",8/23/2015 5:00,1/1/1994 0:00
15.634,State Wildlife Grants,Department of the Interior / Fish and Wildlife Service,"A - FORMULA GRANTS, B - Project Grants (Discretionary)",7/14/2015 5:01,1/1/2002 0:00
17.273,Temporary Labor Certification for Foreign Workers,Department of Labor / Employment Training Administration,"A - Formula Grants, J - PROVISION OF SPECIALIZED SERVICES, O - Federal Employment",8/21/2015 5:00,1/1/2006 0:00
81.041,State Energy Program,Department of Energy,"A - Formula Grants, L - Dissemination of Technical Information",8/22/2015 5:00,1/1/1978 0:00
93.558,Temporary Assistance for Needy Families,Department of Health and Human Services / Administration for Children and Families,"A - Formula Grants, L - Dissemination of Technical Information",8/23/2015 5:00,1/1/1997 0:00
94.019,Social Innovation Fund,Corporation for National and Community Service,B - Cooperative Agreements,9/20/2014 5:00,1/28/2010 7:44
94.020,CNCS Disaster Response Cooperative Agreement,Corporation for National and Community Service,B - Cooperative Agreements,9/12/2014 5:00,12/20/2009 17:34
94.026,National Service and Civic Engagement Research Competition,Corporation for National and Community Service,B - Cooperative Agreements,5/15/2015 5:00,5/15/2015 5:00
10.586,"Special Supplemental Nutrition Program for Women, Infants and Children; Nutrition Education Innovations",Department of Agriculture / Food and Nutrition Service,B - Cooperative Agreements,8/28/2015 5:00,4/16/2011 5:00
10.596,Pilot Projects to Reduce Dependency and Increase Work Requirements and Work Effort under SNAP,Department of Agriculture / Food and Nutrition Service,B - Cooperative Agreements,7/31/2015 5:00,7/25/2014 5:00
10.304,Homeland Security_Agricultural,Department of Agriculture / National Institute of Food and Agriculture,B - Cooperative Agreements,9/18/2015 10:45,1/1/2004 0:00
10.315,Trade Adjustment Assistance for Farmers Training Coordination Program (TAAF),Department of Agriculture / National Institute of Food and Agriculture,B - Cooperative Agreements,8/25/2015 12:40,8/19/2009 11:38
10.325,People’s Garden Grant Program,Department of Agriculture / National Institute of Food and Agriculture,B - Cooperative Agreements,8/26/2015 11:28,7/22/2011 13:59
10.072,Wetlands Reserve Program,Department of Agriculture / Natural Resources Conservation Service,B - Cooperative Agreements,8/27/2015 5:00,1/1/1992 0:00
10.924,Conservation Stewardship Program,Department of Agriculture / Natural Resources Conservation Service,B - Cooperative Agreements,12/13/2015 5:00,6/26/2011 5:00
10.931, Agricultural Conservation Easement Program,Department of Agriculture / Natural Resources Conservation Service,B - Cooperative Agreements,9/4/2015 5:00,8/8/2014 5:00
10.932,Regional Conservation Partnership Program,Department of Agriculture / Natural Resources Conservation Service,B - Cooperative Agreements,9/4/2015 5:00,8/8/2014 5:00
10.460,Risk Management Education Partnerships,Department of Agriculture / Risk Management Agency,B - Cooperative Agreements,9/22/2015 5:00,6/20/2012 5:00
10.351,Rural Business Development Grant,Department of Agriculture / Rural Business-Cooperative Service,B - Cooperative Agreements,9/22/2015 5:00,8/9/2014 5:00
10.290,Agricultural Market and Economic Research,Department of Agriculture / The Office of the Chief Economist,B - Cooperative Agreements,8/27/2015 5:01,1/1/2008 0:00
10.291,Agricultural and Food Policy Research Centers,Department of Agriculture / The Office of the Chief Economist,B - Cooperative Agreements,8/27/2015 5:01,9/20/2014 5:00
11.619,Arrangements for Interdisciplinary Research Infrastructure,Department of Commerce / National Institute of Standards and Technology (NIST),B - Cooperative Agreements,8/6/2015 5:00,9/21/2013 5:00
11.460,Special Oceanic and Atmospheric Projects,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Cooperative Agreements,8/16/2012 5:01,1/1/1992 0:00
11.481,Educational Partnership Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Cooperative Agreements,8/15/2015 5:01,1/1/2001 0:00
11.482,Coral Reef Conservation Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Cooperative Agreements,9/20/2014 5:00,7/2/2010 7:25
11.999,Marine Debris Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Cooperative Agreements,8/8/2015 5:00,8/8/2015 5:00
12.125,Southern WV Environmental Infrastructure (Section 340) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Cooperative Agreements,1/21/2011 7:49,3/22/2010 8:17
12.126,Central WV Environmental Infrastructure (Section 571) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Cooperative Agreements,1/21/2011 7:49,3/22/2010 8:22
12.127,Southern and Eastern KY Environmental Infrastructure (Section 531) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Cooperative Agreements,1/21/2011 7:49,3/22/2010 8:23
12.128,Florida Keys Water Quality Improvement Program (Section 109) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Cooperative Agreements,1/21/2011 7:50,3/22/2010 8:25
12.129,"Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota","Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Cooperative Agreements,4/12/2010 12:53,4/12/2010 12:53
12.130,Estuary Habitat Restoration Program,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Cooperative Agreements,9/11/2015 5:00,10/3/2012 5:00
12.400,"Military Construction, National Guard",Department of Defense / National Guard Bureau,B - Cooperative Agreements,9/28/2014 5:00,1/1/1967 0:00
81.089,Fossil Energy Research and Development,Department of Energy,B - Cooperative Agreements,8/30/2015 5:00,1/1/1984 0:00
81.138,State Heating Oil and Propane Program,Department of Energy,B - Cooperative Agreements,8/12/2015 5:00,6/21/2012 5:00
93.711,ARRA –  Strengthening Communities Fund,Department of Health and Human Services / Administration for Children and Families,B - Cooperative Agreements,9/7/2014 5:00,5/26/2009 15:39
93.056,Initiative to Educate State and Territorial Officials about Maintaining and Strengthening Public Health in a Changing Environment,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/7/2015 5:00,4/15/2011 10:20
93.062,Biomonitoring Programs for State Public Health Laboratories,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/26/2015 5:00,9/14/2009 10:10
93.064,"Laboratory Training, Evaluation, and Quality Assurance Programs",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/12/2015 5:00,1/1/2004 0:00
93.065,"Laboratory Leadership, Workforce Training and Management Development, Improving Public Health Laboratory Infrastructure",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/27/2015 5:02,1/1/2005 0:00
93.069,Public Health Emergency Preparedness,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/27/2015 5:02,1/1/2008 0:00
93.073,Birth Defects and Developmental Disabilities - Prevention and Surveillance,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/30/2015 5:00,2/16/2010 8:13
93.079,Cooperative Agreements to Promote Adolescent Health through School-Based HIV/STD Prevention and School-Based Surveillance,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/28/2015 5:01,1/30/2013 15:26
93.080,"Blood Disorder Program: Prevention, Surveillance, and Research",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/30/2015 5:00,9/1/2013 5:00
93.097,"Strengthening the Nation's Public Health System through a National Voluntary Accreditation Program for State, Tribal, Local and Territorial Health Departments",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,5/29/2015 5:00,4/25/2013 5:00
93.116,Project Grants and Cooperative Agreements for Tuberculosis Control Programs,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/27/2015 5:02,1/1/1990 0:00
93.184,Disabilities Prevention,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/4/2015 5:00,1/1/1990 0:00
93.185,"Immunization Research, Demonstration, Public Information and Education_Training and Clinical Skills Improvement Projects",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/10/2015 5:00,1/1/1990 0:00
93.270,Adult Viral Hepatitis Prevention and Control,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/20/2015 5:01,1/1/2008 0:00
93.283,Centers for Disease Control and Prevention_Investigations and Technical Assistance,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/26/2015 5:00,1/1/1990 0:00
